day,drive
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,1
